,Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
545,IDCJAC0009,70351,2009,6,29,0.0,,Y
546,IDCJAC0009,70351,2009,6,30,0.0,,Y
547,IDCJAC0009,70351,2009,7,1,9.6,1.0,Y
548,IDCJAC0009,70351,2009,7,2,0.6,1.0,Y
549,IDCJAC0009,70351,2009,7,3,3.4,1.0,Y
550,IDCJAC0009,70351,2009,7,4,0.0,,Y
551,IDCJAC0009,70351,2009,7,5,0.0,,Y
552,IDCJAC0009,70351,2009,7,6,0.0,,Y
553,IDCJAC0009,70351,2009,7,7,0.2,1.0,Y
554,IDCJAC0009,70351,2009,7,8,0.0,,Y
555,IDCJAC0009,70351,2009,7,9,0.0,,Y
556,IDCJAC0009,70351,2009,7,10,0.0,,Y
557,IDCJAC0009,70351,2009,7,11,0.0,,Y
558,IDCJAC0009,70351,2009,7,12,0.0,,Y
559,IDCJAC0009,70351,2009,7,13,0.0,,Y
560,IDCJAC0009,70351,2009,7,14,0.0,,Y
561,IDCJAC0009,70351,2009,7,15,0.0,,Y
562,IDCJAC0009,70351,2009,7,16,0.0,,Y
563,IDCJAC0009,70351,2009,7,17,0.0,,Y
564,IDCJAC0009,70351,2009,7,18,0.0,,Y
565,IDCJAC0009,70351,2009,7,19,0.0,,Y
566,IDCJAC0009,70351,2009,7,20,0.0,,Y
567,IDCJAC0009,70351,2009,7,21,0.0,,Y
568,IDCJAC0009,70351,2009,7,22,0.0,,Y
569,IDCJAC0009,70351,2009,7,23,7.4,1.0,Y
570,IDCJAC0009,70351,2009,7,24,3.0,1.0,Y
571,IDCJAC0009,70351,2009,7,25,0.2,1.0,Y
572,IDCJAC0009,70351,2009,7,26,0.0,,Y
573,IDCJAC0009,70351,2009,7,27,6.2,1.0,Y
574,IDCJAC0009,70351,2009,7,28,0.0,,Y
575,IDCJAC0009,70351,2009,7,29,0.0,,Y
576,IDCJAC0009,70351,2009,7,30,0.0,,Y
577,IDCJAC0009,70351,2009,7,31,0.0,,Y
578,IDCJAC0009,70351,2009,8,1,0.0,,Y
579,IDCJAC0009,70351,2009,8,2,0.0,,Y
580,IDCJAC0009,70351,2009,8,3,0.0,,Y
581,IDCJAC0009,70351,2009,8,4,0.0,,Y
582,IDCJAC0009,70351,2009,8,5,0.0,,Y
583,IDCJAC0009,70351,2009,8,6,0.0,,Y
584,IDCJAC0009,70351,2009,8,7,0.0,,Y
585,IDCJAC0009,70351,2009,8,8,0.0,,Y
586,IDCJAC0009,70351,2009,8,9,0.0,,Y
587,IDCJAC0009,70351,2009,8,10,0.0,,Y
588,IDCJAC0009,70351,2009,8,11,1.6,1.0,Y
589,IDCJAC0009,70351,2009,8,12,11.0,1.0,Y
590,IDCJAC0009,70351,2009,8,13,0.2,1.0,Y
591,IDCJAC0009,70351,2009,8,14,0.0,,Y
592,IDCJAC0009,70351,2009,8,15,0.0,,Y
593,IDCJAC0009,70351,2009,8,16,0.0,,Y
594,IDCJAC0009,70351,2009,8,17,1.4,1.0,Y
595,IDCJAC0009,70351,2009,8,18,0.0,,Y
596,IDCJAC0009,70351,2009,8,19,0.0,,Y
