,Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
355,IDCJAC0001,70014,1968,10,50.5,Y
356,IDCJAC0001,70014,1968,11,23.7,Y
357,IDCJAC0001,70014,1968,12,82.0,Y
358,IDCJAC0001,70014,1969,1,17.0,Y
359,IDCJAC0001,70014,1969,2,106.6,Y
360,IDCJAC0001,70014,1969,3,50.2,Y
361,IDCJAC0001,70014,1969,4,82.4,Y
362,IDCJAC0001,70014,1969,5,41.9,Y
363,IDCJAC0001,70014,1969,6,58.7,Y
364,IDCJAC0001,70014,1969,7,44.5,Y
365,IDCJAC0001,70014,1969,8,51.0,Y
366,IDCJAC0001,70014,1969,9,40.6,Y
367,IDCJAC0001,70014,1969,10,139.5,Y
368,IDCJAC0001,70014,1969,11,94.3,Y
369,IDCJAC0001,70014,1969,12,32.4,Y
370,IDCJAC0001,70014,1970,1,59.5,Y
371,IDCJAC0001,70014,1970,2,94.8,Y
372,IDCJAC0001,70014,1970,3,60.0,Y
373,IDCJAC0001,70014,1970,4,51.5,Y
374,IDCJAC0001,70014,1970,5,34.2,Y
375,IDCJAC0001,70014,1970,6,29.4,Y
376,IDCJAC0001,70014,1970,7,4.2,Y
377,IDCJAC0001,70014,1970,8,54.5,Y
378,IDCJAC0001,70014,1970,9,115.7,Y
379,IDCJAC0001,70014,1970,10,31.9,Y
380,IDCJAC0001,70014,1970,11,111.6,Y
381,IDCJAC0001,70014,1970,12,75.1,Y
382,IDCJAC0001,70014,1971,1,115.0,Y
383,IDCJAC0001,70014,1971,2,109.6,Y
384,IDCJAC0001,70014,1971,3,24.3,Y
385,IDCJAC0001,70014,1971,4,19.3,Y
386,IDCJAC0001,70014,1971,5,23.1,Y
387,IDCJAC0001,70014,1971,6,4.8,Y
388,IDCJAC0001,70014,1971,7,13.5,Y
389,IDCJAC0001,70014,1971,8,47.6,Y
390,IDCJAC0001,70014,1971,9,43.7,Y
391,IDCJAC0001,70014,1971,10,37.4,Y
